,02 성별,06_나이_반올림,001_오른쪽어깨경사각,002_왼쪽어깨경사각,003_키,005_목뒤높이,017_샅높이,031_몸무게,037_목둘레,038_목밑둘레,039_가슴둘레,040_젖가슴둘레,042_허리둘레,043_배꼽수준허리둘레,044_배둘레,045_엉덩이둘레,052_총길이,054_어깨사이길이,055_어깨가쪽사이길이,063_위팔길이,064_팔길이,065_팔안쪽길이,069_다리가쪽길이,111_머리둘레,121_넙다리둘레,122_넙다리중간둘레,123_무릎둘레,125_장딴지둘레,130_위팔둘레,131_팔꿈치둘레
3478,남,24,22.0,20.0,"1,758","1,499",755.0,93.7,431.0,445.0,"1,110","1,070","1,012","1,036","1,041","1,047","1,515",465.0,435.0,350.0,595.0,490.0,"1,065",594.0,645.0,583.0,400.0,398.0,344.0,305.0
3479,남,23,20.0,16.0,"1,683","1,425",810.0,59.6,405.0,422.0,916,896,766,790,795,875,"1,452",435.0,386.0,339.0,569.0,491.0,"1,075",559.0,507.0,465.0,336.0,325.0,281.0,260.0
3480,남,25,14.0,14.0,"1,745","1,470",780.0,68.9,372.0,385.0,945,870,807,822,837,911,"1,474",395.0,366.0,357.0,612.0,489.0,"1,095",576.0,568.0,485.0,359.0,366.0,315.0,287.0
3481,남,49,20.0,20.0,"1,748","1,469",785.0,80.2,445.0,457.0,"1,021",973,930,925,895,994,"1,502",455.0,410.0,346.0,592.0,464.0,"1,094",584.0,591.0,507.0,385.0,382.0,330.0,289.0
3483,남,26,30.0,20.0,"1,694","1,415",755.0,69.1,410.0,423.0,948,930,820,845,850,920,"1,434",455.0,405.0,354.0,575.0,494.0,"1,044",590.0,570.0,526.0,370.0,383.0,321.0,302.0
3484,남,24,26.0,22.0,"1,647","1,368",705.0,74.6,444.0,457.0,972,935,889,912,936,992,"1,402",392.0,360.0,316.0,541.0,438.0,999,554.0,625.0,608.0,391.0,415.0,319.0,290.0
3485,남,24,30.0,24.0,"1,769","1,490",808.0,64.9,446.0,458.0,943,843,719,740,761,896,"1,533",445.0,425.0,368.0,612.0,472.0,"1,095",574.0,523.0,458.0,356.0,378.0,308.0,275.0
3487,남,22,22.0,14.0,"1,760","1,508",821.0,60.6,396.0,422.0,895,870,747,800,825,898,"1,514",420.0,386.0,352.0,609.0,490.0,"1,075",580.0,544.0,531.0,357.0,316.0,285.0,288.0
3488,남,22,26.0,22.0,"1,605","1,358",695.0,62.9,409.0,428.0,921,910,795,813,832,923,"1,374",412.0,375.0,313.0,545.0,430.0,984,586.0,565.0,503.0,360.0,381.0,305.0,295.0
3489,남,33,16.0,16.0,"1,629","1,366",693.0,75.2,375.0,437.0,"1,012",950,854,867,855,990,"1,405",400.0,377.0,334.0,573.0,419.0,990,566.0,627.0,605.0,364.0,410.0,336.0,290.0
3490,남,48,22.0,20.0,"1,714","1,456",785.0,93.5,434.0,462.0,"1,113","1,124","1,076","1,111","1,094","1,082","1,506",430.0,410.0,339.0,583.0,464.0,"1,053",596.0,642.0,577.0,397.0,433.0,348.0,314.0
3491,남,46,20.0,16.0,"1,613","1,369",721.0,62.8,406.0,439.0,"1,005",950,783,783,788,900,"1,414",385.0,349.0,349.0,589.0,422.0,991,548.0,540.0,474.0,324.0,340.0,315.0,307.0
3492,남,48,14.0,16.0,"1,716","1,463",800.0,61.7,371.0,409.0,901,862,745,759,760,903,"1,492",390.0,375.0,347.0,599.0,449.0,"1,084",584.0,550.0,475.0,362.0,357.0,288.0,270.0
3494,남,24,22.0,20.0,"1,695","1,440",766.0,73.3,406.0,424.0,962,931,881,909,920,953,"1,483",450.0,403.0,352.0,581.0,460.0,"1,054",620.0,587.0,540.0,358.0,370.0,320.0,296.0
